,DBN,rr_s,rr_t,rr_p,N_s,N_t,N_p,saf_p_11,com_p_11,eng_p_11,aca_p_11,saf_t_11,com_t_11,eng_t_11,aca_t_11,saf_s_11,com_s_11,eng_s_11,aca_s_11,saf_tot_11,com_tot_11,eng_tot_11,aca_tot_11
494,10X205,,100,100,,80.0,816.0,9.0,8.3,8.1,8.6,7.8,7.5,7.8,8.2,,,,,8.4,7.9,8.0,8.4
495,10X206,90.0,81,100,286.0,26.0,361.0,9.0,8.4,8.1,8.5,7.1,7.3,7.0,8.1,6.1,6.0,6.5,7.7,7.4,7.2,7.2,8.1
496,10X207,,97,82,,29.0,300.0,9.0,8.4,8.1,8.5,7.9,7.3,7.6,8.2,,,,,8.5,7.8,7.9,8.3
497,10X209,,96,97,,22.0,220.0,9.5,8.9,8.7,9.3,9.7,9.0,9.5,9.5,,,,,9.6,9.0,9.1,9.4
498,10X213,81.0,87,39,332.0,27.0,157.0,8.4,7.6,7.5,7.7,6.3,6.3,6.6,7.0,6.5,5.9,6.8,7.5,7.1,6.6,7.0,7.4
499,10X225,88.0,89,21,450.0,32.0,98.0,8.6,7.8,7.6,8.2,6.1,5.0,5.7,6.7,7.7,6.9,7.5,8.0,7.5,6.6,6.9,7.6
500,10X226,,65,61,,22.0,211.0,8.7,7.9,7.7,7.9,7.2,6.8,7.1,7.7,,,,,8.0,7.4,7.4,7.8
501,10X228,95.0,73,51,223.0,16.0,117.0,9.5,8.9,8.6,8.9,8.3,6.5,7.4,7.8,7.7,7.1,7.7,8.3,8.5,7.5,7.9,8.3
502,10X237,62.0,59,47,287.0,17.0,212.0,8.1,7.6,7.4,7.8,6.0,5.4,6.1,6.4,5.9,5.9,5.9,6.9,6.7,6.3,6.5,7.0
503,10X243,83.0,100,41,490.0,46.0,223.0,8.0,7.4,7.4,7.7,7.0,6.3,7.4,7.7,6.6,6.0,7.0,7.6,7.2,6.6,7.3,7.7
504,10X244,69.0,36,32,450.0,20.0,197.0,9.0,8.4,8.4,8.9,7.9,8.1,8.7,8.9,7.2,6.4,7.5,8.0,8.0,7.6,8.2,8.6
505,10X246,,74,53,,46.0,288.0,9.1,8.4,8.3,8.7,7.4,6.9,7.0,7.7,,,,,8.2,7.7,7.7,8.2
506,10X254,81.0,24,27,349.0,8.0,110.0,8.4,7.7,7.4,7.9,5.6,3.0,4.1,5.5,6.0,5.6,6.2,7.0,6.7,5.4,5.9,6.8
507,10X268,84.0,88,36,389.0,21.0,155.0,8.2,7.9,7.5,7.9,6.9,6.0,7.6,7.9,6.9,6.0,6.6,7.4,7.3,6.6,7.2,7.7
508,10X279,96.0,100,67,320.0,76.0,504.0,9.2,8.7,8.7,8.8,6.5,6.1,6.2,6.7,6.8,6.4,7.0,7.7,7.5,7.0,7.3,7.7
509,10X280,96.0,75,77,284.0,45.0,489.0,8.4,7.8,7.6,8.3,7.3,7.3,7.5,8.4,6.4,6.4,6.9,7.8,7.4,7.2,7.3,8.2
510,10X284,85.0,79,32,320.0,23.0,120.0,8.0,7.4,7.3,7.6,6.8,6.7,6.7,7.0,6.1,6.0,6.4,7.1,7.0,6.7,6.8,7.2
511,10X291,,100,89,,42.0,406.0,9.2,9.3,9.4,9.5,8.7,8.1,8.7,9.3,,,,,9.0,8.7,9.0,9.4
512,10X306,,55,55,,33.0,319.0,8.8,8.4,8.1,8.4,6.8,5.5,5.9,6.6,,,,,7.8,6.9,7.0,7.5
513,10X307,,100,100,,22.0,283.0,9.5,9.0,8.9,9.2,9.0,7.4,7.6,9.0,,,,,9.3,8.2,8.2,9.1
514,10X308,94.0,100,58,263.0,21.0,159.0,8.7,7.7,7.4,8.0,7.1,6.1,6.7,7.3,6.8,6.3,6.9,7.8,7.5,6.7,7.0,7.7
515,10X310,,93,91,,55.0,536.0,8.8,8.1,8.0,8.2,6.7,6.1,6.2,7.2,,,,,7.7,7.1,7.1,7.7
516,10X315,95.0,84,78,74.0,16.0,140.0,9.2,8.8,8.4,8.7,7.1,6.5,6.4,7.4,7.3,7.2,7.5,8.5,7.9,7.5,7.4,8.2
517,10X319,87.0,73,1,145.0,11.0,2.0,9.1,6.8,6.1,7.5,7.7,5.7,6.1,6.9,8.4,7.3,7.9,8.3,8.2,6.6,6.8,7.6
518,10X331,95.0,97,45,342.0,31.0,150.0,8.8,8.6,8.5,8.5,6.4,6.3,6.4,7.4,6.5,6.5,7.1,7.7,7.2,7.1,7.3,7.9
519,10X340,100.0,98,87,64.0,41.0,389.0,9.2,8.3,8.2,8.7,9.3,8.3,8.5,8.7,8.1,7.7,8.3,8.5,8.9,8.1,8.4,8.6
520,10X342,92.0,92,65,488.0,34.0,316.0,9.0,8.3,7.8,8.3,7.1,6.5,6.5,7.2,7.4,6.4,7.1,7.7,7.8,7.1,7.1,7.7
521,10X344,,64,47,,7.0,65.0,8.5,8.1,7.6,8.1,8.8,7.0,7.7,7.5,,,,,8.6,7.6,7.7,7.8
522,10X360,98.0,97,55,58.0,38.0,217.0,8.8,8.1,7.9,8.4,7.6,6.2,6.4,7.5,6.6,5.7,6.2,7.5,7.7,6.7,6.8,7.8
523,10X363,97.0,100,89,153.0,12.0,133.0,8.5,8.4,8.0,8.6,7.8,8.7,8.1,8.4,7.4,6.5,7.4,8.2,7.9,7.9,7.8,8.4
524,10X368,90.0,91,51,978.0,72.0,496.0,8.6,7.6,7.6,7.9,7.4,6.2,6.6,7.2,6.5,6.2,6.6,7.5,7.5,6.7,6.9,7.5
525,10X374,92.0,100,75,329.0,31.0,258.0,8.8,8.5,8.2,8.8,7.9,6.9,7.9,8.5,7.2,6.6,7.2,8.0,8.0,7.3,7.8,8.4
526,10X382,,88,100,,23.0,274.0,8.8,8.0,8.1,8.4,7.7,7.9,8.0,8.6,,,,,8.2,7.9,8.1,8.5
527,10X386,,84,64,,27.0,220.0,8.9,8.3,8.2,8.6,7.0,5.7,6.4,6.6,,,,,7.9,7.0,7.3,7.6
528,10X390,94.0,95,69,366.0,37.0,323.0,8.6,8.1,7.9,8.1,6.3,6.1,6.8,7.4,6.5,6.3,6.9,7.6,7.1,6.9,7.2,7.7
529,10X391,87.0,80,53,539.0,44.0,298.0,8.4,8.2,8.0,8.3,6.7,7.2,7.3,7.8,6.4,6.2,7.0,7.6,7.2,7.2,7.4,7.9
530,10X396,,100,78,,46.0,179.0,9.0,8.6,8.4,8.7,8.1,6.5,7.4,8.0,,,,,8.5,7.5,7.9,8.3
531,10X397,71.0,14,26,166.0,2.0,53.0,8.7,7.9,7.6,8.1,8.4,7.8,8.3,9.3,7.4,6.5,7.0,7.8,8.1,7.3,7.5,8.2
532,10X399,92.0,92,34,220.0,23.0,79.0,8.2,8.0,7.7,8.1,6.4,6.8,7.4,7.6,6.0,5.9,6.3,7.5,6.9,6.9,7.1,7.7
533,10X433,90.0,100,27,384.0,35.0,112.0,8.4,8.0,7.9,7.9,7.3,7.8,8.0,8.8,5.9,5.4,6.1,6.7,7.2,7.1,7.4,7.8
534,10X434,78.0,63,53,295.0,22.0,195.0,8.2,6.9,6.9,7.3,7.5,6.6,7.2,7.8,6.0,5.4,5.5,6.7,7.2,6.3,6.6,7.3
535,10X437,70.0,52,23,250.0,17.0,81.0,8.4,8.5,8.5,8.4,6.3,5.5,6.1,6.7,7.0,6.2,7.1,7.6,7.2,6.7,7.2,7.6
536,10X438,52.0,55,64,215.0,21.0,261.0,8.5,7.4,7.3,7.3,5.6,4.2,5.7,5.8,5.8,5.3,5.9,6.9,6.6,5.6,6.3,6.7
537,10X439,87.0,92,43,332.0,33.0,159.0,7.5,7.6,7.2,7.7,6.9,6.0,6.2,7.0,6.0,6.0,6.5,7.3,6.8,6.5,6.6,7.3
538,10X440,67.0,87,33,2820.0,244.0,1325.0,5.7,6.4,6.5,6.8,6.0,6.9,7.3,7.6,5.2,5.4,6.0,6.9,5.7,6.2,6.6,7.1
539,10X442,87.0,77,31,335.0,24.0,115.0,8.2,7.8,7.6,7.8,6.5,4.6,5.4,6.0,6.5,6.2,6.9,7.4,7.1,6.2,6.6,7.1
540,10X445,98.0,50,45,2956.0,74.0,1314.0,8.1,7.8,7.6,7.9,7.4,5.0,5.3,6.9,6.8,6.3,6.7,7.6,7.4,6.4,6.5,7.5
541,10X447,96.0,88,89,224.0,15.0,203.0,9.0,8.6,8.4,8.7,6.5,7.4,7.4,8.1,6.2,6.4,6.9,7.8,7.3,7.5,7.6,8.2
542,10X459,86.0,88,71,179.0,14.0,138.0,8.8,8.0,7.8,7.9,6.7,6.0,6.9,7.3,6.8,6.2,6.8,7.4,7.4,6.7,7.2,7.6
543,10X475,31.0,43,8,314.0,30.0,80.0,7.3,6.9,6.7,6.8,4.7,3.6,3.8,4.5,5.6,5.2,5.7,6.2,5.6,4.9,5.1,5.6
544,10X477,97.0,97,45,428.0,28.0,190.0,8.8,8.2,7.9,8.3,8.2,6.6,7.0,7.6,7.1,6.3,6.9,7.7,8.0,7.1,7.3,7.9
545,10X503,66.0,96,8,120.0,24.0,14.0,8.7,6.9,7.1,7.9,7.8,7.4,8.3,8.4,7.7,6.5,6.9,7.5,8.0,6.9,7.5,8.0
546,10X504,68.0,58,2,139.0,15.0,4.0,7.0,6.3,6.7,5.9,7.4,6.3,6.7,7.1,7.8,6.2,7.3,7.8,7.5,6.3,6.9,7.1
547,10X546,91.0,94,88,388.0,30.0,360.0,9.6,9.3,9.3,9.4,7.2,6.6,7.1,7.5,7.4,6.4,7.6,8.1,8.0,7.4,8.0,8.3
548,10X549,59.0,70,8,283.0,23.0,37.0,8.7,8.0,7.7,8.1,8.3,7.3,7.1,8.2,6.2,5.5,6.1,6.8,7.6,6.7,6.8,7.6
549,10X660,63.0,87,10,806.0,83.0,119.0,7.5,7.5,7.4,7.6,7.9,8.1,8.5,8.7,5.9,5.5,5.9,6.8,7.1,7.0,7.3,7.7
550,10X667,39.0,94,2,91.0,30.0,5.0,7.8,7.0,7.2,7.7,8.2,8.6,8.6,8.7,7.6,7.2,7.6,8.1,7.9,7.7,7.9,8.3
551,10X696,98.0,100,52,359.0,27.0,188.0,9.1,8.1,8.1,8.7,8.8,7.4,8.2,9.0,8.1,7.1,7.8,8.6,8.7,7.5,8.0,8.7
552,11X016,,100,40,,44.0,201.0,8.3,7.8,7.7,8.0,6.1,5.3,6.4,7.3,,,,,7.2,6.5,7.1,7.6
553,11X019,97.0,97,50,191.0,34.0,195.0,8.5,7.7,7.6,8.0,8.2,8.5,8.8,9.3,7.5,6.4,7.8,8.3,8.1,7.5,8.1,8.5
554,11X021,,71,33,,44.0,240.0,8.0,7.7,7.5,8.0,6.5,6.3,6.6,7.4,,,,,7.3,7.0,7.1,7.7
555,11X041,,93,80,,66.0,616.0,8.9,8.2,8.1,8.5,7.4,8.1,7.6,8.5,,,,,8.1,8.1,7.8,8.5
556,11X068,,99,66,,80.0,424.0,8.2,7.7,7.6,8.2,6.7,6.2,6.6,7.1,,,,,7.5,6.9,7.1,7.7
557,11X076,,83,73,,60.0,655.0,8.6,8.1,7.9,8.4,7.0,5.5,6.2,7.2,,,,,7.8,6.8,7.1,7.8
558,11X078,,95,66,,58.0,414.0,7.9,7.3,7.2,7.5,7.9,8.0,8.4,8.7,,,,,7.9,7.6,7.8,8.1
559,11X083,97.0,100,93,642.0,115.0,1267.0,8.7,7.8,7.8,8.3,7.5,7.3,7.2,8.0,6.7,6.5,7.3,7.9,7.6,7.2,7.5,8.1
560,11X087,,54,46,,19.0,207.0,8.4,7.9,7.8,8.1,6.0,5.1,5.5,6.1,,,,,7.2,6.5,6.7,7.1
561,11X089,98.0,91,51,476.0,89.0,516.0,7.7,7.3,7.1,7.5,6.3,6.4,6.9,7.4,5.3,5.7,6.1,7.1,6.4,6.5,6.7,7.4
562,11X096,,99,80,,71.0,673.0,8.8,8.1,7.9,8.5,8.0,7.4,7.8,8.5,,,,,8.4,7.8,7.9,8.5
563,11X097,,84,42,,46.0,253.0,8.7,8.2,7.8,8.3,7.4,6.4,6.8,7.8,,,,,8.1,7.3,7.3,8.0
564,11X103,,86,60,,74.0,551.0,8.6,8.0,7.8,8.3,6.7,6.9,7.3,7.6,,,,,7.7,7.5,7.6,7.9
565,11X105,,85,52,,96.0,622.0,8.8,7.7,7.7,8.1,7.5,6.4,6.8,7.3,,,,,8.1,7.0,7.2,7.7
566,11X106,,99,75,,80.0,770.0,8.6,8.0,7.8,8.3,8.0,7.8,8.3,8.5,,,,,8.3,7.9,8.0,8.4
567,11X108,,78,73,,32.0,351.0,8.9,8.1,8.1,8.4,7.4,4.5,5.7,7.3,,,,,8.2,6.3,6.9,7.9
568,11X111,,83,20,,52.0,122.0,8.4,7.5,7.4,7.7,6.6,5.6,6.5,7.0,,,,,7.5,6.5,7.0,7.3
569,11X112,,100,64,,44.0,267.0,8.6,8.1,8.1,8.4,7.3,7.4,7.4,7.7,,,,,8.0,7.7,7.7,8.0
570,11X121,,100,70,,63.0,567.0,9.0,8.5,8.4,8.7,8.1,8.4,8.5,8.7,,,,,8.6,8.5,8.5,8.7
571,11X127,84.0,79,21,598.0,38.0,135.0,8.1,7.3,7.2,7.8,6.0,6.5,6.4,7.1,6.3,6.1,6.8,7.7,6.8,6.6,6.8,7.5
572,11X142,92.0,66,9,712.0,42.0,61.0,6.1,6.2,6.0,6.1,5.5,5.2,5.7,6.4,5.1,5.6,6.1,7.1,5.5,5.6,5.9,6.6
573,11X144,81.0,71,44,762.0,55.0,393.0,7.0,6.8,6.9,7.2,6.4,6.3,6.0,7.0,5.5,6.0,6.3,7.4,6.3,6.4,6.4,7.2
574,11X153,,96,77,,50.0,393.0,8.7,7.8,7.9,8.1,7.9,7.0,7.7,7.9,,,,,8.3,7.4,7.8,8.0
575,11X160,,88,61,,37.0,241.0,8.2,7.8,7.8,7.9,6.3,6.3,6.1,7.1,,,,,7.3,7.1,6.9,7.5
576,11X169,,80,77,,12.0,155.0,9.3,8.7,8.5,9.0,8.6,8.0,8.2,8.8,,,,,9.0,8.4,8.4,8.9
577,11X175,99.0,100,58,126.0,23.0,163.0,8.8,8.0,7.6,8.3,7.9,7.1,7.3,7.9,6.3,6.0,6.5,7.3,7.6,7.0,7.1,7.9
578,11X178,,98,66,,40.0,254.0,8.4,7.6,7.7,7.9,7.7,5.7,5.8,6.6,,,,,8.0,6.6,6.7,7.2
579,11X180,99.0,66,83,750.0,37.0,598.0,9.2,8.3,8.4,8.6,8.1,7.8,7.8,8.2,7.5,7.2,7.6,8.1,8.3,7.8,7.9,8.3
580,11X181,89.0,72,19,522.0,31.0,109.0,8.2,7.5,7.4,7.7,6.7,7.0,7.0,8.0,6.9,5.8,7.1,7.9,7.3,6.8,7.2,7.9
581,11X189,,95,49,,35.0,161.0,8.5,7.9,7.9,8.2,6.2,5.3,6.0,6.3,,,,,7.3,6.6,7.0,7.3
582,11X194,98.0,100,74,419.0,97.0,720.0,8.7,7.9,7.9,8.4,7.3,6.5,6.4,7.4,6.7,6.5,7.2,8.0,7.6,7.0,7.2,7.9
583,11X249,90.0,87,14,266.0,20.0,39.0,8.3,7.9,7.3,8.0,8.2,6.8,7.4,7.9,6.3,5.4,5.8,7.2,7.6,6.7,6.8,7.7
584,11X253,57.0,46,21,225.0,13.0,80.0,7.4,7.6,7.3,7.8,6.8,5.9,6.8,7.1,5.5,5.3,5.8,6.6,6.6,6.2,6.6,7.2
585,11X265,90.0,88,40,411.0,30.0,175.0,7.6,7.6,7.5,7.5,6.4,6.4,6.6,7.1,6.4,6.0,6.4,7.3,6.8,6.7,6.8,7.3
586,11X270,71.0,47,26,404.0,18.0,143.0,7.6,7.4,7.3,7.2,5.6,5.0,5.7,6.4,5.2,5.6,5.6,6.9,6.1,6.0,6.2,6.8
587,11X272,85.0,65,30,402.0,22.0,131.0,7.1,7.0,6.8,7.5,5.1,5.4,5.6,6.6,5.8,5.4,6.1,6.7,6.0,5.9,6.2,6.9
588,11X275,84.0,97,66,436.0,33.0,340.0,9.3,8.8,8.9,9.0,6.6,6.2,6.3,6.8,6.3,5.7,6.6,7.4,7.4,6.9,7.2,7.7
589,11X287,97.0,61,85,280.0,14.0,238.0,7.7,7.6,7.6,7.7,6.5,6.5,6.7,7.0,6.3,6.3,7.0,7.8,6.8,6.8,7.1,7.5
590,11X288,82.0,92,63,391.0,24.0,297.0,8.3,8.3,7.9,8.4,8.4,8.6,8.5,9.1,7.2,6.7,7.3,8.4,8.0,7.9,7.9,8.7
591,11X289,83.0,71,58,318.0,20.0,214.0,7.0,7.1,6.8,7.4,6.3,6.3,6.8,7.2,5.2,5.7,6.0,7.2,6.2,6.4,6.5,7.3
592,11X290,85.0,96,56,370.0,26.0,242.0,7.3,7.1,7.0,7.4,7.9,8.2,7.9,8.4,5.9,5.7,5.9,7.0,7.0,7.0,7.0,7.6
593,11X299,88.0,97,57,395.0,31.0,248.0,7.7,7.7,7.6,7.8,6.8,7.4,7.3,7.7,5.9,5.7,6.3,7.2,6.8,6.9,7.1,7.6
594,11X322,95.0,57,69,488.0,21.0,335.0,7.3,6.8,6.5,6.9,4.8,3.8,4.7,5.2,5.3,5.2,5.4,6.9,5.8,5.3,5.5,6.3
595,11X326,96.0,100,47,369.0,29.0,168.0,8.4,7.9,7.7,8.1,6.7,6.9,6.9,7.4,6.5,6.3,6.8,7.7,7.2,7.1,7.1,7.7
596,11X370,15.0,25,7,64.0,8.0,29.0,7.2,7.3,7.0,7.7,5.2,4.8,5.7,4.9,5.5,6.3,6.9,7.3,5.8,5.8,6.3,6.2
597,11X415,57.0,79,27,586.0,62.0,290.0,8.5,8.2,8.4,8.1,6.7,7.3,7.4,7.8,6.1,5.9,6.6,7.2,7.1,7.1,7.5,7.7
598,11X417,76.0,74,92,184.0,32.0,232.0,9.3,9.2,9.3,9.1,8.6,8.5,8.8,9.0,8.6,6.6,8.2,8.9,8.8,8.1,8.8,9.0
599,11X418,82.0,52,42,330.0,13.0,168.0,8.4,7.4,7.5,7.3,7.0,6.6,6.8,7.3,6.3,5.3,6.1,6.9,7.3,6.4,6.8,7.1
600,11X455,62.0,88,10,1156.0,99.0,175.0,7.1,6.9,7.0,7.2,7.2,7.2,7.3,7.7,6.0,5.6,6.3,7.2,6.8,6.6,6.9,7.4
601,11X456,93.0,100,11,106.0,17.0,8.0,9.6,9.3,9.0,9.5,8.1,8.5,8.6,8.8,8.2,7.4,8.0,8.5,8.6,8.4,8.5,8.9
602,11X462,79.0,100,89,170.0,15.0,182.0,8.7,7.7,7.8,7.9,8.0,7.9,8.3,8.9,6.8,6.5,7.1,7.8,7.8,7.4,7.8,8.2
603,11X468,89.0,100,61,189.0,19.0,128.0,8.8,8.3,8.0,8.5,8.0,7.0,7.1,7.9,7.2,7.0,7.4,8.2,8.0,7.5,7.5,8.2
604,11X498,98.0,100,93,101.0,13.0,184.0,9.2,8.4,8.3,8.8,8.5,8.5,8.8,8.9,7.6,6.9,7.9,8.1,8.4,7.9,8.3,8.6
605,11X513,90.0,67,32,316.0,16.0,93.0,8.2,7.6,7.3,8.1,6.7,5.0,6.1,7.2,7.1,6.8,7.3,8.0,7.3,6.5,6.9,7.8
606,11X514,80.0,74,38,274.0,20.0,129.0,8.6,8.0,7.7,8.0,6.8,6.6,6.6,7.4,6.0,5.7,6.1,7.1,7.1,6.8,6.8,7.5
607,11X541,74.0,19,24,260.0,6.0,83.0,7.7,7.6,7.3,7.6,7.1,6.2,5.2,6.4,5.9,5.8,6.2,7.1,6.9,6.5,6.2,7.0
608,11X542,92.0,100,62,434.0,27.0,292.0,8.7,8.3,8.2,8.6,7.2,8.1,7.5,8.2,6.4,5.6,6.4,7.6,7.4,7.4,7.4,8.1
609,11X544,67.0,85,75,295.0,22.0,320.0,8.7,7.7,7.8,7.8,7.5,7.5,7.8,8.1,6.7,5.6,6.5,7.0,7.6,6.9,7.4,7.6
610,11X545,86.0,83,35,308.0,20.0,121.0,7.6,7.1,6.9,7.3,6.3,6.0,6.4,6.7,5.6,5.5,5.5,6.4,6.5,6.2,6.3,6.8
611,12X006,,59,49,,30.0,281.0,8.6,8.2,8.0,8.3,6.5,5.0,5.3,5.6,,,,,7.5,6.6,6.6,7.0
612,12X044,,69,67,,22.0,166.0,8.7,8.1,7.9,8.5,7.4,7.3,7.2,7.8,,,,,8.0,7.7,7.6,8.1
613,12X047,,96,91,,79.0,841.0,8.9,8.3,8.2,8.7,8.6,8.9,8.9,9.0,,,,,8.7,8.6,8.5,8.8
614,12X050,,85,86,,40.0,351.0,8.3,8.0,7.8,8.2,5.9,5.9,5.7,6.4,,,,,7.1,6.9,6.8,7.3
615,12X057,,98,84,,42.0,328.0,8.8,8.1,8.0,8.4,6.9,6.1,6.4,7.2,,,,,7.8,7.1,7.2,7.8
616,12X061,,76,40,,28.0,133.0,8.8,8.2,8.1,8.7,8.5,8.2,8.5,9.1,,,,,8.7,8.2,8.3,8.9
617,12X066,,89,93,,56.0,453.0,8.7,8.3,8.2,8.4,7.8,7.8,7.6,8.3,,,,,8.2,8.0,7.9,8.4
618,12X067,,89,29,,49.0,159.0,8.4,7.8,7.5,8.1,7.1,6.9,7.1,7.7,,,,,7.7,7.4,7.3,7.9
619,12X092,,81,51,,39.0,214.0,8.7,8.0,8.1,8.5,6.5,5.4,5.7,6.0,,,,,7.6,6.7,6.9,7.3
620,12X098,93.0,100,77,419.0,43.0,320.0,8.7,7.4,7.9,7.7,6.1,6.4,6.8,7.7,5.8,6.0,6.7,7.4,6.9,6.6,7.1,7.6
621,12X102,,35,16,,27.0,122.0,7.9,7.3,7.1,7.5,6.3,3.7,4.7,5.3,,,,,7.1,5.5,5.9,6.4
622,12X129,89.0,100,72,501.0,38.0,372.0,7.8,7.4,7.4,7.9,7.3,7.7,7.8,8.4,6.6,6.2,6.9,7.8,7.2,7.1,7.4,8.0
623,12X134,,54,97,,27.0,517.0,8.8,7.9,8.0,7.9,6.8,6.7,6.6,7.1,,,,,7.8,7.3,7.3,7.5
624,12X150,,91,83,,58.0,600.0,8.9,8.2,8.0,8.5,7.3,7.5,7.3,7.8,,,,,8.1,7.8,7.6,8.2
625,12X190,97.0,77,78,236.0,17.0,178.0,8.7,8.0,8.0,8.2,7.6,6.7,7.7,7.6,6.4,5.9,7.1,7.4,7.6,6.8,7.6,7.8
626,12X195,,55,84,,30.0,545.0,8.9,8.4,8.4,8.3,7.1,5.4,6.4,6.8,,,,,8.0,6.9,7.4,7.6
627,12X196,,64,69,,36.0,438.0,8.9,8.1,8.0,8.3,7.8,7.2,7.5,7.8,,,,,8.3,7.7,7.7,8.1
628,12X198,,60,71,,12.0,72.0,9.0,8.4,8.4,8.5,6.9,6.3,6.6,7.3,,,,,8.0,7.4,7.5,7.9
629,12X211,98.0,90,88,337.0,54.0,500.0,8.7,7.9,7.9,8.4,7.2,6.7,7.1,7.8,6.9,6.3,7.7,7.7,7.6,7.0,7.5,8.0
630,12X212,91.0,74,47,124.0,23.0,135.0,8.4,7.6,7.7,7.9,6.8,5.6,5.6,7.0,6.4,5.9,6.6,7.5,7.2,6.4,6.6,7.5
631,12X214,95.0,100,71,379.0,74.0,531.0,8.5,7.8,7.9,8.1,7.8,7.3,7.5,8.4,6.7,6.2,6.9,8.0,7.6,7.1,7.4,8.1
632,12X217,75.0,72,47,243.0,23.0,139.0,7.7,7.4,7.3,7.9,6.3,6.4,7.4,8.0,6.0,5.9,6.7,7.7,6.7,6.6,7.1,7.9
633,12X242,92.0,97,73,346.0,34.0,266.0,8.9,8.3,7.9,8.5,7.3,6.3,6.7,7.6,7.4,6.8,7.1,8.0,7.9,7.1,7.2,8.0
634,12X245,71.0,91,33,215.0,29.0,94.0,8.0,7.5,7.4,7.5,7.1,7.0,7.1,7.2,6.0,5.9,6.5,7.1,7.0,6.8,7.0,7.3
635,12X248,79.0,62,16,246.0,16.0,47.0,8.9,8.5,7.9,8.6,7.4,6.9,6.5,7.4,6.8,6.0,6.6,7.1,7.7,7.1,7.0,7.7
636,12X251,65.0,62,27,232.0,16.0,91.0,8.3,8.0,7.8,8.1,6.5,5.7,6.2,7.3,6.9,6.5,7.1,7.7,7.2,6.7,7.0,7.7
637,12X262,64.0,96,51,217.0,24.0,175.0,8.5,7.7,7.6,7.4,5.9,4.5,5.0,5.8,6.0,5.6,6.4,7.0,6.8,5.9,6.3,6.7
638,12X267,99.0,100,87,339.0,33.0,274.0,8.2,7.6,7.3,8.0,7.9,7.5,7.3,8.5,8.5,8.4,8.6,9.1,8.2,7.8,7.7,8.5
639,12X271,66.0,58,18,399.0,28.0,101.0,8.2,7.8,7.5,8.0,7.3,7.7,8.0,8.2,6.8,6.4,6.9,7.7,7.4,7.3,7.5,7.9
640,12X273,97.0,100,55,247.0,18.0,133.0,8.7,8.2,8.0,8.4,7.6,8.4,8.4,8.6,6.8,6.2,6.9,7.7,7.7,7.6,7.7,8.2
641,12X278,89.0,67,92,236.0,16.0,246.0,9.1,8.5,8.4,8.7,6.5,5.3,6.5,7.0,8.6,8.6,8.3,9.1,8.1,7.4,7.7,8.2
642,12X286,74.0,95,33,177.0,21.0,75.0,9.1,8.9,8.9,9.0,7.5,7.1,7.6,7.9,6.6,6.6,7.0,7.9,7.7,7.5,7.8,8.3
643,12X300,,91,57,,43.0,250.0,9.0,8.5,8.2,8.5,7.9,7.8,7.6,8.0,,,,,8.5,8.1,7.9,8.3
644,12X316,100.0,95,62,266.0,18.0,159.0,9.1,8.7,8.5,8.8,8.2,7.7,8.1,8.9,7.9,7.1,8.0,8.2,8.4,7.8,8.2,8.6
645,12X318,99.0,97,84,373.0,28.0,298.0,8.2,7.8,7.6,7.7,7.3,7.0,7.2,7.8,6.9,6.2,7.1,7.7,7.5,7.0,7.3,7.7
646,12X341,79.0,100,69,144.0,17.0,120.0,8.5,7.6,7.7,7.7,6.9,6.4,7.4,7.6,6.6,6.4,7.2,7.6,7.3,6.8,7.4,7.6
647,12X372,77.0,68,22,241.0,19.0,65.0,7.9,7.0,6.9,7.2,5.7,4.8,5.0,5.7,6.3,6.7,6.6,7.5,6.6,6.2,6.2,6.8
648,12X383,95.0,56,64,203.0,10.0,127.0,8.9,8.4,8.2,8.4,7.8,7.7,7.8,8.4,7.5,7.2,7.7,7.7,8.0,7.8,7.9,8.1
649,12X384,83.0,96,64,281.0,27.0,203.0,8.7,8.2,8.0,8.6,6.5,6.5,7.0,7.5,6.8,6.2,7.2,7.8,7.3,7.0,7.4,8.0
650,12X388,87.0,78,41,274.0,18.0,117.0,8.5,8.1,7.8,7.8,6.7,5.2,6.4,6.9,6.8,7.1,7.6,8.0,7.3,6.8,7.3,7.6
651,12X428,47.0,85,15,90.0,28.0,30.0,9.4,8.5,8.3,8.9,8.2,7.1,7.6,8.1,8.2,6.7,7.8,8.4,8.6,7.5,7.9,8.5
652,12X446,55.0,87,14,103.0,13.0,25.0,8.9,8.4,8.5,8.6,7.4,5.5,7.0,7.0,6.8,6.0,6.4,7.0,7.7,6.6,7.3,7.5
653,12X463,,86,68,,19.0,129.0,8.9,8.6,8.5,8.8,6.5,7.1,7.2,7.4,,,,,7.7,7.8,7.8,8.1
654,12X478,90.0,100,32,118.0,10.0,41.0,9.0,8.6,8.3,8.8,9.0,8.6,9.2,9.3,7.5,7.1,7.5,8.1,8.5,8.1,8.3,8.7
655,12X479,61.0,78,41,91.0,7.0,60.0,8.4,7.6,7.3,7.6,6.5,6.4,6.7,7.6,6.5,5.9,6.4,7.4,7.1,6.6,6.8,7.6
656,12X480,57.0,95,18,144.0,20.0,45.0,9.0,8.1,8.0,8.5,8.3,8.0,8.4,8.9,7.2,6.0,6.9,7.7,8.2,7.4,7.8,8.4
657,12X550,96.0,100,84,340.0,25.0,258.0,9.1,7.5,7.6,7.7,7.5,6.4,7.3,7.3,7.8,6.2,7.5,7.8,8.1,6.7,7.5,7.6
